78.5 66.0 98.0 88.0 76.5 56.0 87.5 71.0 82.0 96.0
68.5 61.5 88.0 78.0 74.5 58.0 83.5 75.0 80.0 91.0
88.5 62.5 78.5 79.0 72.5 60.5 81.5 85.0 84.0 93.0
58.5 63.5 68.0 80.0 70.5 62.0 79.5 95.0 78.0 95.0
48.5 76.5 91.0 81.0 68.5 72.0 77.5 70.0 86.0 86.0
69.5 86.0 93.0 83.0 66.5 74.0 75.5 80.0 76.0 84.0
79.5 96.0 81.0 85.0 64.5 76.0 73.5 90.0 88.0 81.0
81.5 46.0 85.0 87.0 62.5 78.0 71.5 60.0 90.0 81.5
66.5 36.0 89.5 89.0 60.5 80.0 89.5 65.0 74.0 80.0
70.0 26.0 77.0 91.0 60.0 82.0 91.5 66.0 72.0 78.5
